cost,prototypes,times,q,K,m,seed,name,run,partition_entropy,modified_partition_coefficient,entropy,adjusted_rand_score,f1_micro,f1_macro,classification_error,g0 size,g1 size,g2 size,g3 size,g4 size,g5 size,g6 size,g7 size,g8 size,g9 size
"6653,724459392999","[[1722, 1765], [1722, 1765], [692, 661], [1722, 1765], [692, 1722], [1722, 1765], [692, 661], [692, 661], [1722, 1765], [692, 661]]",6,2,10,"1,6000000000000003",18082065,todas,45,"0,9952639939530092","0,0023870333785213083","0,9952639939530092","0,21712505249919364","0,18","0,11444574440917701","0,8200000000000001",0,5,4,18,306,183,478,0,447,559
"6644,009062329671","[[692, 661], [692, 661], [692, 661], [692, 661], [1722, 1689], [1722, 1689], [1722, 1689], [1722, 1689], [1722, 1689], [1890, 1831]]",6,2,10,"1,6000000000000003",18082066,todas,46,"0,9935637532030993","0,0034267128145950565","0,9935637532030993","0,2537282966344562","0,1145","0,0637710208453845","0,8855",313,0,375,0,4,520,0,186,12,590
"6665,635497279174","[[504, 566], [1722, 1689], [1722, 1689], [692, 1722], [692, 1722], [1890, 1831], [1722, 1689], [1722, 1689], [1722, 1885], [692, 661]]",6,2,10,"1,6000000000000003",18082067,todas,47,"0,994085667764675","0,0033192593271429427","0,994085667764675","0,3311784617030456","0,075","0,059244971014362734","0,925",303,1,4,82,87,428,458,94,87,456
"6654,3663682740125","[[1722, 1689], [588, 504], [1722, 1689], [692, 661], [1722, 1689], [692, 1722], [1722, 1689], [1722, 1689], [1890, 1831], [692, 661]]",6,2,10,"1,6000000000000003",18082068,todas,48,"0,9928254391863746","0,004041125622618602","0,9928254391863746","0,3537304201065205","0,1255","0,10122954952912558","0,8745",96,297,3,315,469,202,1,0,456,161
"6656,908724938826","[[1722, 1689], [1722, 1885], [1722, 1689], [692, 661], [1722, 1689], [692, 661], [1722, 1689], [692, 661], [1722, 1689], [692, 661]]",6,2,10,"1,6000000000000003",18082069,todas,49,"0,9953781018484181","0,0023378557178718173","0,9953781018484181","0,21493648118138892","0,068","0,0476989849042788","0,9319999999999999",0,331,511,490,172,2,0,487,0,7
"6650,955237447583","[[692, 661], [692, 661], [1722, 1689], [1722, 1689], [692, 661], [692, 661], [1722, 1689], [692, 661], [1722, 1765], [692, 661]]",6,2,10,"1,6000000000000003",18082070,todas,50,"0,9949109801967229","0,0026252068257547334","0,9949109801967229","0,1598327875919171","0,094","0,06094230364062747","0,906",0,607,263,182,0,1,2,7,404,534
"6652,4497903927195","[[1722, 1689], [1722, 1689], [692, 661], [1722, 692], [1722, 692], [1722, 692], [692, 661], [1890, 1831], [1722, 1689], [692, 661]]",6,2,10,"1,6000000000000003",18082071,todas,51,"0,9948907338469187","0,002788978821775867","0,9948907338469187","0,2746864749818305","0,095","0,05419980148406668","0,905",155,472,324,108,0,104,0,589,8,240
"6649,100344692143","[[1722, 1689], [1890, 1831], [692, 661], [692, 661], [449, 503], [1722, 1689], [1722, 1689], [1722, 1717], [692, 661], [1722, 1689]]",6,2,10,"1,6000000000000003",18082072,todas,52,"0,9925286958640746","0,004130964749567867","0,9925286958640746","0,37905624418802086","0,044","0,03109164848246787","0,956",22,442,165,0,284,337,14,411,324,1
"6647,176745504625","[[692, 661], [692, 661], [692, 1722], [692, 661], [1722, 1689], [1722, 1689], [78, 25], [1722, 1689], [692, 661], [692, 661]]",6,2,10,"1,6000000000000003",18082073,todas,53,"0,9930620087829439","0,003934643014221417","0,9930620087829439","0,22957919300476795","0,0265","0,02422740819131206","0,9735",566,1,226,1,160,261,301,11,473,0
"6657,181087979585","[[1722, 1689], [692, 661], [692, 661], [692, 1722], [692, 661], [692, 1717], [1722, 1689], [692, 661], [1722, 1765], [1722, 1689]]",6,2,10,"1,6000000000000003",18082074,todas,54,"0,9955708803177199","0,0022857671735434515","0,9955708803177199","0,22653428645137358","0,144","0,10478984749206514","0,856",0,3,507,42,2,427,96,402,338,183
"6655,2225635363375","[[1722, 1689], [1722, 1717], [1722, 1689], [1722, 1689], [692, 1722], [661, 692], [1890, 1831], [661, 692], [1722, 1689], [692, 1722]]",6,2,10,"1,6000000000000003",18082075,todas,55,"0,994780486438744","0,0028497015145485527","0,994780486438744","0,30333469158646936","0,106","0,09485715438059181","0,894",0,415,71,0,26,248,581,294,344,21
"6647,054612253718","[[1722, 1717], [1890, 1831], [692, 661], [1722, 1689], [1890, 1831], [692, 661], [1722, 1689], [1722, 1689], [1722, 1689], [1722, 1689]]",7,2,10,"1,6000000000000003",18082076,todas,56,"0,9930841452476119","0,0036906412298542968","0,9930841452476119","0,3039306018186675","0,05000000000000001","0,03957586252939886","0,95",426,457,333,14,124,238,0,0,60,348
"6654,404868485459","[[692, 661], [1890, 1831], [692, 661], [1722, 1689], [1722, 1689], [1722, 1689], [449, 503], [692, 1722], [1722, 1689], [1722, 1689]]",6,2,10,"1,6000000000000003",18082077,todas,57,"0,993138567774311","0,0038040629920020885","0,993138567774311","0,34796573853321294","0,052","0,038011227185824205","0,948",316,446,162,2,103,467,294,207,3,0
"6648,580192883512","[[692, 661], [692, 1722], [1890, 1864], [1831, 1890], [692, 1722], [692, 661], [78, 25], [1722, 1717], [692, 1890], [1722, 1689]]",6,2,10,"1,6000000000000003",18082078,todas,58,"0,9920533418357734","0,004701318280247446","0,9920533418357734","0,35403505815620434","0,01","0,011484360482239702","0,99",276,21,151,467,19,215,240,376,21,214
"6661,775660524527","[[692, 1722], [692, 661], [692, 661], [449, 566], [1722, 1689], [1722, 1689], [692, 661], [1722, 1689], [1722, 1689], [692, 1722]]",6,2,10,"1,6000000000000003",18082079,todas,59,"0,994817634052353","0,002737964158729511","0,994817634052353","0,28675998124822827","0,0785","0,07524184317706586","0,9215",124,218,436,528,476,0,0,2,115,101
"6652,798059047815","[[1722, 1765], [692, 661], [1722, 1765], [1722, 1765], [1722, 1765], [692, 661], [449, 566], [692, 661], [692, 661], [1722, 1765]]",6,2,10,"1,6000000000000003",18082080,todas,60,"0,9936336290142617","0,0033155482604595443","0,9936336290142617","0,2517826125708001","0,1125","0,06342260821230497","0,8875",515,0,159,0,3,0,544,485,294,0
"6645,107863447603","[[1722, 1689], [692, 1722], [78, 25], [692, 661], [692, 661], [1722, 1689], [692, 661], [692, 1722], [692, 1722], [1890, 1831]]",6,2,10,"1,6000000000000003",18082081,todas,61,"0,9924786083632039","0,004444145984950909","0,9924786083632039","0,3032295995173252","0,1215","0,07533131125040757","0,8785000000000001",243,97,281,0,322,134,238,0,100,585
"6646,946165665612","[[1722, 1717], [1722, 1689], [692, 661], [1890, 1831], [692, 661], [692, 661], [1722, 1689], [1890, 661], [1722, 1689], [1722, 1689]]",6,2,10,"1,6000000000000003",18082082,todas,62,"0,9934345569130686","0,0034976397175505713","0,9934345569130686","0,3055670355140071","0,0335","0,03205415058094639","0,9665",425,347,306,540,0,224,0,83,1,74
"6648,817024324567","[[692, 661], [1890, 1831], [692, 661], [1722, 1689], [692, 1722], [1722, 1689], [1722, 1689], [1722, 1689], [692, 661], [1722, 1689]]",6,2,10,"1,6000000000000003",18082083,todas,63,"0,9941166416890573","0,003154674470901342","0,9941166416890573","0,274360812046419","0,109","0,08904091669021186","0,891",326,589,238,149,212,0,2,1,1,482
"6662,770144798651","[[1722, 1689], [1722, 1689], [692, 1722], [692, 1722], [1722, 1689], [1722, 1689], [661, 692], [661, 692], [661, 692], [692, 1722]]",5,2,10,"1,6000000000000003",18082084,todas,64,"0,9964313237540466","0,0018236313773636326","0,9964313237540466","0,20700481459482445","0,051","0,027965321394021535","0,949",4,179,134,114,518,4,2,572,473,0
"6644,512573844673","[[692, 661], [692, 661], [1890, 1831], [1722, 1689], [1722, 1689], [1722, 1717], [1722, 1689], [692, 661], [692, 661], [1722, 1689]]",7,2,10,"1,6000000000000003",18082085,todas,65,"0,993596498737759","0,0034327457513907422","0,993596498737759","0,30423853855436855","0,0625","0,03739891996971878","0,9375",241,0,581,348,0,425,75,0,330,0
"6649,08114318791","[[692, 661], [1722, 1765], [692, 661], [692, 661], [1722, 1765], [1722, 1765], [692, 661], [692, 661], [1722, 1765], [692, 661]]",6,2,10,"1,6000000000000003",18082086,todas,66,"0,9947516782359734","0,002687198588660511","0,9947516782359734","0,1704178899364276","0,1465","0,08635115826717385","0,8535",0,29,0,622,226,548,566,9,0,0
"6651,064634049657","[[1722, 1689], [692, 1722], [1722, 1717], [1890, 1831], [1722, 1689], [692, 661], [1864, 1885], [692, 661], [692, 661], [1722, 1689]]",6,2,10,"1,6000000000000003",18082087,todas,67,"0,994139287536507","0,0032002669854027666","0,994139287536507","0,3110593351708464","0,047","0,04500556369233708","0,953",1,35,392,509,66,271,188,199,0,339
"6675,016035174942","[[661, 692], [449, 452], [1722, 1689], [1722, 1689], [692, 1722], [692, 1722], [692, 1722], [1722, 1689], [692, 1722], [1722, 1689]]",5,2,10,"1,6000000000000003",18082088,todas,68,"0,9960665237124295","0,002147674354979423","0,9960665237124295","0,26583094290058024","0,0575","0,0689399767007072","0,9425",670,512,111,4,100,124,1,0,0,478
"6644,103917068696","[[1722, 1689], [692, 661], [692, 661], [1722, 1689], [692, 661], [1722, 1662], [1722, 1689], [1890, 1831], [1722, 1689], [692, 661]]",6,2,10,"1,6000000000000003",18082089,todas,69,"0,9935574130812874","0,0034482645930676847","0,9935574130812874","0,2520664710425701","0,1575","0,11828627471558788","0,8425",0,275,355,365,1,315,29,584,76,0
"6655,141084939523","[[1890, 1831], [1722, 1689], [692, 661], [1722, 1689], [692, 1722], [692, 1722], [1722, 1689], [692, 1722], [692, 661], [1722, 1689]]",6,2,10,"1,6000000000000003",18082090,todas,70,"0,9950310579288214","0,0027124470661332722","0,9950310579288214","0,2761944711040971","0,0275","0,039349952264795846","0,9725",588,466,326,1,1,107,19,104,239,149
"6655,165904636035","[[692, 661], [692, 661], [1722, 1689], [692, 661], [692, 661], [1722, 1689], [1722, 1662], [1722, 1689], [1722, 1765], [1722, 1689]]",6,2,10,"1,6000000000000003",18082091,todas,71,"0,9951523959565438","0,0024571035450615675","0,9951523959565438","0,16632634320711193","0,1165","0,09931453992446496","0,8835",509,0,98,2,586,185,282,1,331,6
"6639,145224537433","[[692, 661], [78, 25], [692, 1722], [1722, 1689], [692, 661], [1890, 1831], [1722, 1689], [692, 661], [692, 661], [1722, 1689]]",6,2,10,"1,6000000000000003",18082092,todas,72,"0,9915984356751448","0,004860313415558815","0,9915984356751448","0,30214457260050365","0,0725","0,05445144414782148","0,9275",0,281,197,9,322,585,240,1,237,128
"6662,770144798652","[[1722, 1689], [692, 1722], [1722, 1689], [661, 692], [1722, 1689], [661, 692], [692, 1722], [1722, 1689], [692, 1722], [661, 692]]",6,2,10,"1,6000000000000003",18082093,todas,73,"0,9964313237389743","0,0018236313852021402","0,9964313237389743","0,20678226154985524","0,1355","0,08121272577533051","0,8645",7,134,0,565,515,4,113,183,1,478
"6648,6730237773545","[[692, 661], [1722, 1689], [1722, 1689], [692, 661], [1890, 1831], [1722, 1689], [1722, 1662], [692, 661], [1722, 1717], [1722, 1689]]",7,2,10,"1,6000000000000003",18082094,todas,74,"0,9938446048984868","0,0033177219641316036","0,9938446048984868","0,29362056634086114","0,022","0,018915303628956538","0,978",231,38,0,0,575,0,163,328,399,266
"6670,091030679247","[[692, 1722], [692, 1722], [692, 1722], [661, 692], [1722, 1689], [1722, 1885], [1722, 1689], [1722, 1689], [692, 1722], [661, 692]]",6,2,10,"1,6000000000000003",18082095,todas,75,"0,9972274623609786","0,0014427820789217893","0,9972274623609786","0,240086099289483","0,081","0,05325679315523403","0,919",94,97,0,432,9,304,466,145,0,453
"6650,717044466683","[[692, 661], [692, 661], [1722, 1689], [692, 661], [1722, 1717], [1722, 1689], [692, 1722], [1890, 1831], [692, 1722], [1722, 1689]]",6,2,10,"1,6000000000000003",18082096,todas,76,"0,9945093161167647","0,0029885971482351836","0,9945093161167647","0,305580993384077","0,291","0,20256302662450815","0,7090000000000001",7,227,0,309,414,72,20,581,26,344
