cost,prototypes,times,q,K,m,seed,run,partition_entropy,modified_partition_coefficient,entropy,adjusted_rand_score,f1_micro,f1_macro,classification_error,g0 size,g1 size,g2 size,g3 size,g4 size,g5 size,g6 size,g7 size,g8 size,g9 size
"8831,802517586306","[[1319, 1333], [1558, 1425], [132, 25], [593, 436], [769, 600], [504, 571], [1842, 1834], [567, 448], [697, 1178], [1582, 1440]]",7,2,10,"1,1",18082081,61,"0,335521786561645","0,6093821811670544","0,335521786561645","0,4162804407746574","0,0235","0,02636065897604615","0,9765",387,134,371,77,223,132,251,66,201,158
"8686,783212824013","[[1306, 948], [132, 25], [1016, 1080], [1433, 1485], [981, 972], [685, 762], [1319, 1254], [1810, 1904], [1792, 1689], [1859, 749]]",5,2,10,"1,1",18082082,62,"0,3327949219274898","0,6070604401775914","0,3327949219274898","0,5061094102661527","0,2505","0,25893933777834766","0,7495",124,219,150,319,139,219,167,224,218,221
"8383,395648978467","[[685, 762], [1440, 1582], [1893, 1859], [840, 967], [1808, 1834], [1689, 1655], [588, 524], [1319, 1255], [238, 278], [132, 25]]",7,2,10,"1,1",18082083,63,"0,25485899830518965","0,6983877513553769","0,25485899830518965","0,6121295364424749","0,042","0,039909159366946105","0,958",231,158,155,163,143,251,255,231,181,232
"8623,909283339704","[[840, 929], [504, 420], [1842, 1887], [591, 497], [132, 25], [1689, 1641], [685, 620], [773, 642], [1558, 1518], [1319, 1333]]",6,2,10,"1,1",18082084,64,"0,3164056060873319","0,6211336144327881","0,3164056060873319","0,48175246748039946","0,048","0,05114250312255638","0,952",172,151,248,136,228,226,254,140,208,237
"8622,701992897946","[[254, 238], [426, 452], [1440, 1433], [132, 25], [1928, 1993], [1319, 1254], [892, 1366], [588, 524], [1859, 1899], [1047, 1016]]",4,2,10,"1,1",18082085,65,"0,3156699577901702","0,6273521376707312","0,3156699577901702","0,47896535164124165","0,0325","0,034266612202544885","0,9675",215,88,183,336,111,247,173,207,179,261
"8396,435728855786","[[685, 620], [504, 563], [1964, 1810], [254, 238], [528, 591], [132, 25], [1433, 1485], [1319, 1254], [1689, 1655], [840, 853]]",5,2,10,"1,1",18082086,66,"0,25974708172313055","0,6953029175288981","0,25974708172313055","0,5993550888852337","0,0965","0,09236869901781575","0,9035",285,139,253,204,101,231,179,227,221,160
"8561,867267095746","[[1689, 1655], [1319, 1254], [840, 969], [1433, 1485], [1643, 1650], [254, 238], [1179, 1086], [588, 524], [1937, 1848], [132, 25]]",6,2,10,"1,1",18082087,67,"0,30660381087899224","0,6381362474785035","0,30660381087899224","0,5489229626398167","0,019","0,018678771860123754","0,981",150,224,164,218,116,212,229,220,248,219
"8418,157092426152","[[1440, 1582], [1810, 1904], [685, 683], [1722, 1760], [1319, 1254], [840, 853], [254, 238], [1689, 1655], [588, 524], [25, 132]]",6,2,10,"1,1",18082088,68,"0,2798531980447666","0,6680770118546673","0,2798531980447666","0,6014488764955033","0,0225","0,020967007943581785","0,9775",163,265,258,125,230,160,203,168,241,187
"8945,313586716811","[[1641, 1689], [1956, 1854], [685, 762], [1722, 1760], [1990, 1937], [1319, 1357], [25, 132], [1433, 1485], [1693, 1689], [1842, 1887]]",5,2,10,"1,1",18082089,69,"0,39931734788752693","0,5436365549237743","0,39931734788752693","0,43012844394643757","0,143","0,12738922848888423","0,857",155,165,264,90,112,380,184,373,112,165
"8549,983551760208","[[1859, 1881], [1016, 1080], [1842, 1887], [132, 25], [840, 853], [665, 797], [1319, 1254], [685, 620], [1433, 1485], [504, 524]]",5,2,10,"1,1",18082090,70,"0,3010200758904905","0,6456427561477289","0,3010200758904905","0,5459649368496743","0,17750000000000002","0,17327116715201543","0,8225",150,161,174,348,168,143,253,176,192,235
