cost,prototypes,times,q,K,m,seed,run,partition_entropy,modified_partition_coefficient,entropy,adjusted_rand_score,f1_micro,f1_macro,classification_error,g0 size,g1 size,g2 size,g3 size,g4 size,g5 size,g6 size,g7 size,g8 size,g9 size
"5357,945664551321","[[1506, 1586], [347, 395], [198, 18], [252, 1596], [692, 661], [374, 392], [1831, 1881], [692, 262], [1797, 1786], [1981, 692]]",5,2,10,"1,1",18082046,26,"0,6431267666204981","0,3085327464739914","0,6431267666204981","0,3467642777697953","0,2205","0,2020293172979135","0,7795",131,234,194,210,150,180,310,183,225,183
"5417,201457363537","[[187, 36], [1831, 1369], [1768, 392], [1596, 252], [1831, 1981], [279, 1981], [692, 661], [198, 122], [395, 347], [374, 384]]",5,2,10,"1,1",18082047,27,"0,7061360820979371","0,2294746432470195","0,7061360820979371","0,24164714032223725","0,088","0,08967546348361136","0,912",155,235,216,259,137,238,251,123,248,138
"5441,023126426881","[[198, 18], [1831, 1847], [692, 661], [1981, 1831], [392, 374], [1831, 1369], [692, 1981], [392, 395], [347, 395], [1596, 252]]",3,2,10,"1,1",18082048,28,"0,7398228913468639","0,20908677152611366","0,7398228913468639","0,2734582528849501","0,129","0,11262021948465743","0,871",281,173,201,113,282,185,157,65,254,289
"5401,121182222827","[[817, 392], [384, 296], [525, 242], [1831, 1369], [692, 661], [1981, 1831], [661, 817], [198, 18], [395, 347], [1797, 1786]]",5,2,10,"1,1",18082049,29,"0,7163515030941416","0,23744416777321464","0,7163515030941416","0,3076171180263816","0,094","0,09337699333906158","0,906",128,148,217,225,260,229,92,194,281,226
"5375,986726130111","[[395, 347], [692, 661], [1797, 1786], [392, 296], [1506, 1536], [198, 18], [1831, 1369], [1981, 279], [817, 279], [315, 395]]",3,2,10,"1,1",18082050,30,"0,6723735601062003","0,27794960186239104","0,6723735601062003","0,3197181862073283","0,0695","0,062273957481483365","0,9305",228,264,227,201,148,194,267,227,120,124
"5384,1209011558985","[[347, 312], [525, 374], [661, 817], [1797, 1786], [692, 262], [1596, 252], [392, 1907], [1981, 1831], [198, 18], [1831, 1369]]",4,2,10,"1,1",18082051,31,"0,6780647477127895","0,2758269360518085","0,6780647477127895","0,33549550706733333","0,09","0,08937381542673681","0,91",203,112,123,215,320,250,138,218,195,226
"5419,8616892057125","[[198, 18], [1981, 1099], [1981, 692], [692, 661], [1831, 1369], [242, 817], [1981, 661], [1797, 1786], [395, 661], [312, 1338]]",3,2,10,"1,1",18082052,32,"0,7062984666522307","0,24998479982808441","0,7062984666522307","0,3591132291231239","0,18549999999999997","0,18575735954360834","0,8145",194,185,104,225,314,271,94,242,96,275
"5395,393992334784","[[692, 253], [1831, 1881], [296, 392], [1596, 1581], [374, 392], [315, 661], [692, 661], [1797, 1786], [1981, 262], [198, 18]]",3,2,10,"1,1",18082053,33,"0,691755785188202","0,2603271711127637","0,691755785188202","0,3325030089735767","0,0425","0,04598800015169252","0,9575",162,335,159,232,128,142,179,222,246,195
"5441,676093955079","[[1831, 1981], [692, 395], [525, 661], [1831, 1369], [1596, 252], [1981, 662], [392, 1907], [392, 955], [347, 395], [198, 18]]",6,2,10,"1,1",18082054,34,"0,7398830937987688","0,21190373045376132","0,7398830937987688","0,25467755783907176","0,046","0,0507038700865449","0,954",147,185,122,234,256,192,171,198,232,263
"5407,726613790428","[[242, 661], [692, 262], [817, 661], [1596, 252], [1831, 1981], [392, 374], [198, 18], [1831, 279], [1797, 1786], [692, 661]]",3,2,10,"1,1",18082055,35,"0,7091150754180494","0,24339313411247","0,7091150754180494","0,35101466636976375","0,1595","0,15396166274912487","0,8405",81,240,102,289,269,260,195,167,223,174
